last_name,first_name,RentalAmount,Rental_Quantity,country,city,active
RIVERA,KATHERINE,58.86,14,Switzerland,Basel,1
ROBB,JAY,89.74,26,Indonesia,Surakarta,1
ROBERT,ERIC,122.73,27,Argentina,"Santa F",1
ROBERTS,CHRISTINE,99.76,24,"French Polynesia",Faaa,1
ROBERTSON,JOANNE,127.66,34,Japan,Urawa,1
ROBINS,GREG,141.70,30,Vietnam,"Nam Dinh",1
ROBINSON,SHARON,115.70,30,Pakistan,Mardan,1
RODRIGUEZ,LAURA,113.78,22,Morocco,Sal,1
RODRIQUEZ,VIOLET,142.70,30,"Hong Kong","Kowloon and New Kowloon",1
ROGERS,TERESA,128.71,29,Japan,Iwakuni,1
ROMERO,MINNIE,142.66,34,Indonesia,Ciomas,1
ROSE,DARLENE,113.69,31,"North Korea",Pyongyang,1
ROSS,MARILYN,137.70,30,Nigeria,Ife,1
ROYAL,DAVID,115.74,26,Peru,Callao,1
RUIZ,VIVIAN,90.77,23,Netherlands,s-Hertogenbosch,1
RUSSELL,ANNIE,58.82,18,Mozambique,Tete,1
RYAN,TARA,88.80,20,Indonesia,Gorontalo,1
SALISBURY,RYAN,142.70,30,Latvia,Daugavpils,1
SANBORN,GENE,97.73,27,Oman,Salala,1
SANCHEZ,JULIE,107.71,29,Spain,"A Corua (La Corua)",1
SANDERS,TAMMY,155.59,41,Taiwan,Changhwa,1
SATTERFIELD,WILLIAM,100.74,26,Yemen,Sanaa,1
SAUER,DEAN,109.73,27,"South Africa",Johannesburg,1
SCARBOROUGH,JONATHAN,72.82,18,Mexico,"Pachuca de Soto",1
SCHILLING,JESSE,101.74,26,"Congo, The Democratic Republic of the",Lubumbashi,1
SCHMIDT,ROSEMARY,147.65,35,Turkey,Usak,1
SCHOFIELD,LEONARD,109.68,32,Argentina,Tandil,1
SCHRADER,JIMMY,105.71,29,"Russian Federation",Atinsk,1
SCHULER,KEVIN,116.78,22,Nepal,Birgunj,1
SCHWAB,ANTHONY,71.80,20,"American Samoa",Tafuna,1
SCHWARZ,BRUCE,103.77,23,Japan,Okinawa,1
SCOTT,REBECCA,89.76,24,Japan,Kurashiki,1
SCROGGINS,STANLEY,139.70,30,Japan,Omiya,1
SEAL,KARL,221.55,45,"United States","Cape Coral",1
SELBY,AARON,110.76,24,"Congo, The Democratic Republic of the",Mwene-Ditu,1
SEWARD,LESLIE,152.65,35,Indonesia,Pontianak,1
SHANKS,EARL,111.73,27,Japan,Iwatsuki,1
SHAW,CLARA,195.58,42,Belarus,Molodetno,1
SHELBY,RICKY,91.75,25,China,Junan,1
SHELLEY,SCOTT,94.75,25,"United States",Aurora,1
SHELTON,DIANNE,135.69,31,Iran,Tabriz,1
SHERROD,WARREN,159.67,33,"Russian Federation",Usolje-Sibirskoje,1
SIKES,FRANCIS,104.74,26,Mexico,"San Juan Bautista Tuxtepec",1
SILVA,MAXINE,116.68,32,Brazil,"Poos de Caldas",1
SILVERMAN,MICHAEL,127.71,29,China,Tiefa,1
SIMMONS,TINA,133.72,28,Brazil,Goinia,1
SIMPKINS,ARTHUR,155.68,32,"Russian Federation",Maikop,1
SIMPSON,ELLEN,117.72,28,Brazil,Po,1
SIMS,VANESSA,86.81,19,Germany,Siegen,1
SKIDMORE,FRANCISCO,98.78,22,Brazil,"So Leopoldo",1
SLEDGE,GILBERT,129.72,28,"United Kingdom",York,1
SLONE,WALLACE,109.75,25,Nigeria,Sokoto,1
SMITH,MARY,118.68,32,Japan,Sasebo,1
SNYDER,MARION,194.61,39,Brazil,"Santa Brbara dOeste",1
SOTO,NINA,123.71,29,India,"Palghat (Palakkad)",1
SOUTH,ROLAND,80.77,23,China,Yingkou,1
SPEAR,JEFFREY,90.77,23,Indonesia,Ciparay,1
SPENCER,CATHY,122.71,29,Japan,Kakamigahara,1
SPURLOCK,KYLE,110.70,30,China,Shanwei,1
STANFIELD,SERGIO,108.74,26,Mexico,Celaya,1
STANLEY,ALLISON,92.73,27,Cambodia,"Phnom Penh",1
STCLAIR,KIRK,64.81,19,Taiwan,Tsaotun,1
STEPHENS,LORRAINE,86.79,21,China,Hami,1
STEPP,ERNEST,89.75,25,China,Huaian,1
STEVENS,ELAINE,107.76,24,"Russian Federation",Smolensk,1
STEWART,ALICE,138.67,33,"United States",Fontana,1
STILL,IAN,96.73,27,"United States",Garland,1
STONE,VERONICA,126.68,32,"United States",Greensboro,1
SULLIVAN,DAWN,120.74,26,Tuvalu,Funafuti,1
SUTTON,FELICIA,86.72,28,China,Korla,1
SWAFFORD,PERRY,117.76,24,Argentina,Quilmes,1
TALBERT,GLEN,113.74,26,Mexico,Acua,1
TAN,TODD,117.71,29,Ukraine,Kamjanets-Podilskyi,1
TAYLOR,DOROTHY,99.75,25,Iran,Esfahan,1
TEEL,SALVADOR,129.70,30,Gambia,Banjul,1
TERRY,JENNIE,133.71,29,"Czech Republic",Olomouc,1
THOMAS,NANCY,103.72,28,India,"Yamuna Nagar",1
THOMPSON,DONNA,98.79,21,"Russian Federation",Elista,1
THORN,MARSHALL,117.77,23,"United Kingdom",Southampton,1
THRASHER,LARRY,112.74,26,Turkey,Adana,1
TIRADO,LONNIE,94.82,18,Indonesia,"Pangkal Pinang",1
TOBIAS,CLYDE,115.71,29,China,Shaoguan,1
TOMLIN,EDDIE,128.73,27,Philippines,Ozamis,1
TORRES,KELLY,99.78,22,China,Xiangtan,1
TROUT,PAUL,120.77,23,"Russian Federation",Kursk,1
TROUTMAN,FRANKLIN,74.78,22,China,Zaoyang,1
TRUONG,WAYNE,70.81,19,India,Gulbarga,1
TUBBS,DUANE,148.69,31,Nauru,Yangor,1
TUCKER,MARJORIE,127.68,32,Poland,Jastrzebie-Zdrj,1
TURNER,MARIE,114.74,26,"Russian Federation",Lipetsk,1
TURPIN,JOHNNY,57.81,19,Sudan,al-Qadarif,1
VANHORN,ANDY,113.75,25,Mexico,"Huejutla de Reyes",1
VARGAS,CHRISTY,122.69,31,China,Datong,1
VARNEY,BENJAMIN,95.77,23,Mexico,Guadalajara,1
VASQUEZ,TERRI,126.73,27,Brazil,Blumenau,1
VEST,JULIAN,109.72,28,Japan,Akishima,1
VINES,CECIL,115.74,26,"United Kingdom",London,1
VU,ROBERTO,139.70,30,China,Yinchuan,1
WADE,MARGIE,159.64,36,China,Lengshuijiang,1
WAGGONER,FRANK,127.68,32,Bangladesh,Jamalpur,1
WAGNER,DOLORES,114.74,26,Malaysia,Ipoh,1
WALDROP,HUGH,90.79,21,China,Haining,1
WALKER,DEBORAH,115.71,29,Pakistan,Shikarpur,1
WALLACE,CONNIE,100.77,23,"Russian Federation",Ivanovo,1
WALTERS,CASSANDRA,129.70,30,"United States",Salinas,1
WARD,JANICE,144.66,34,Sweden,Malm,1
WARREN,HAZEL,110.66,34,China,Hohhot,1
WASHINGTON,RUBY,110.72,28,China,Meixian,1
WATKINS,YVONNE,92.79,21,Venezuela,"Ocumare del Tuy",1
WATSON,THERESA,99.70,30,Philippines,Taguig,1
WATTS,SHELLY,113.74,26,"United States",Dayton,1
WAUGH,JAMIE,118.75,25,Japan,Kuwana,1
WAY,MIKE,166.65,35,India,Valparai,1
WEAVER,YOLANDA,110.73,27,Tanzania,Tabora,1
WEBB,ETHEL,135.68,32,"South Africa",Boksburg,1
WEINER,RONALD,132.70,30,Mexico,"San Felipe del Progreso",1
WELCH,MARLENE,117.74,26,Japan,Iwaki,1
WEST,EDNA,107.74,26,"South Africa",Klerksdorp,1
WESTMORELAND,MITCHELL,134.68,32,Vietnam,"Nha Trang",1
WHEAT,FRED,88.75,25,Mexico,Jurez,1
WHEELER,LUCY,91.74,26,India,Balurghat,1
WHITE,BETTY,117.72,28,"United States","Citrus Heights",1
WHITING,ROY,143.71,29,Kenya,Nyeri,1
WILES,JON,87.76,24,Bolivia,"El Alto",1
WILLIAMS,LINDA,135.74,26,Greece,Athenai,1
WILLIAMSON,GINA,111.72,28,Yemen,Taizz,1
WILLIS,BERNICE,145.67,33,Turkey,Batman,1
WILSON,SUSAN,92.76,24,"New Zealand",Hamilton,1
WINDHAM,DARREN,108.76,24,Italy,Livorno,1
WOFFORD,VIRGIL,107.73,27,Mexico,"Jos Azueta",1
WOOD,LORI,141.69,31,India,"Rae Bareli",1
WOODS,FLORENCE,126.70,30,Argentina,Merlo,1
WREN,TYLER,88.79,21,China,Rizhao,1
WRIGHT,BRENDA,104.74,26,India,Kamarhati,1
WYMAN,BRIAN,52.88,12,Poland,Bydgoszcz,1
YANEZ,LUIS,79.80,20,France,Brest,1
YEE,MARVIN,75.79,21,India,"Berhampore (Baharampur)",1
YOUNG,CYNTHIA,111.68,32,India,"Munger (Monghyr)",1
